Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,PCT_SE_A04002_002,PCT_SE_A04002_003,PCT_SE_A04002_004,PCT_SE_A04002_005,PCT_SE_A04002_006,PCT_SE_A04002_007,PCT_SE_A04002_008,PCT_SE_A04002_009,PCT_SE_A04002_010,PCT_SE_A04002_011,PCT_SE_A04002_012,PCT_SE_A04002_013,PCT_SE_A04002_014,PCT_SE_A04002_015,PCT_SE_A04002_016,PCT_SE_A04002_017,PCT_SE_A04002_018,PCT_SE_A04002_019,PCT_SE_A04002_020,PCT_SE_A04002_021,PCT_SE_A04002_022,PCT_SE_A04002_023,PCT_SE_A04002_024,PCT_SE_A04002_025,PCT_SE_A04002_026,PCT_SE_A04002_027,PCT_SE_A04002_028,PCT_SE_A04002_029,PCT_SE_A04002_030,PCT_SE_A04002_031,SE_A03002_001,SE_A03002_002,SE_A03002_003,SE_A03002_020,SE_A03002_021,SE_A03002_004,SE_A03002_005,SE_A03002_006,SE_A03002_007,SE_A03002_008,SE_A03002_009,SE_A03002_010,SE_A03002_011,SE_A03002_012,SE_A03002_022,SE_A03002_023,SE_A03002_024,SE_A03002_013,SE_A03002_014,SE_A03002_015,SE_A03002_016,SE_A03002_017,SE_A03002_018,SE_A03002_019,SE_A03002_025,PCT_SE_A03002_002,PCT_SE_A03002_003,PCT_SE_A03002_020,PCT_SE_A03002_021,PCT_SE_A03002_004,PCT_SE_A03002_005,PCT_SE_A03002_006,PCT_SE_A03002_007,PCT_SE_A03002_008,PCT_SE_A03002_009,PCT_SE_A03002_010,PCT_SE_A03002_011,PCT_SE_A03002_012,PCT_SE_A03002_022,PCT_SE_A03002_023,PCT_SE_A03002_024,PCT_SE_A03002_013,PCT_SE_A03002_014,PCT_SE_A03002_015,PCT_SE_A03002_016,PCT_SE_A03002_017,PCT_SE_A03002_018,PCT_SE_A03002_019,PCT_SE_A03002_025
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101110","Census Tract 1011.10",,,,4152,2367,146,4,292,5,558,780,57.01,3.52,0.1,7.03,0.12,13.44,18.79,4152,2725,1427,845,123,49,24,226,0,177,11,5,0,33,0,55,0,0,12,27,16,0,0,0,0,0,105,0,6,0,99,65.63,34.37,20.35,2.96,1.18,0.58,5.44,0,4.26,0.26,0.12,0,0.79,0,1.32,0,0,0.29,0.65,0.39,0,0,0,0,0,2.53,0,0.14,0,2.38,292,0,0,0,0,0,21,207,0,2,15,24,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,7.19,70.89,0,0.68,5.14,8.22,0,0,0,0,0,0,0,0,3.77,0,0,0,4.11
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101122","Census Tract 1011.22",,,,4198,3047,25,24,544,0,277,281,72.58,0.6,0.57,12.96,0,6.6,6.69,4198,3785,413,329,0,11,0,31,0,0,0,0,0,31,0,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,90.16,9.84,7.84,0,0.26,0,0.74,0,0,0,0,0,0.74,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,41,170,0,0,23,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,31.25,0,0,4.23,56.99,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101220","Census Tract 1012.20",,,,3434,1704,10,87,490,0,517,626,49.62,0.29,2.53,14.27,0,15.06,18.23,3434,2122,1312,961,52,0,0,272,0,85,14,14,0,159,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,61.79,38.21,27.98,1.51,0,0,7.92,0,2.48,0.41,0.41,0,4.63,0,0.79,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,490,61,0,0,0,0,0,189,0,0,0,207,0,0,0,0,0,0,0,0,33,0,0,0,0,12.45,0,0,0,0,0,38.57,0,0,0,42.24,0,0,0,0,0,0,0,0,6.73,0,0,0,0
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101221","Census Tract 1012.21",,,,3931,1835,150,27,390,0,805,724,46.68,3.82,0.69,9.92,0,20.48,18.42,3931,2503,1428,735,0,0,0,454,0,82,158,15,0,199,0,151,0,151,0,0,0,0,0,0,0,0,88,0,0,0,88,63.67,36.33,18.7,0,0,0,11.55,0,2.09,4.02,0.38,0,5.06,0,3.84,0,3.84,0,0,0,0,0,0,0,0,2.24,0,0,0,2.24,390,0,0,0,0,0,36,269,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,68.97,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101222","Census Tract 1012.22",,,,2572,1417,14,80,51,25,55,930,55.09,0.54,3.11,1.98,0.97,2.14,36.16,2572,1298,1274,849,0,0,0,312,0,0,0,0,19,293,0,113,0,0,0,44,0,0,69,0,0,0,0,0,0,0,0,50.47,49.53,33.01,0,0,0,12.13,0,0,0,0,0.74,11.39,0,4.39,0,0,0,1.71,0,0,2.68,0,0,0,0,0,0,0,0,51,0,0,0,0,0,11,16,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,31.37,0,0,21.57,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101300","Census Tract 1013",,,,4210,3202,69,0,229,0,294,416,76.06,1.64,0,5.44,0,6.98,9.88,4210,3553,657,308,14,30,0,98,56,10,0,28,4,0,0,151,24,0,0,61,41,0,25,0,0,0,56,0,0,0,56,84.39,15.61,7.32,0.33,0.71,0,2.33,1.33,0.24,0,0.67,0.1,0,0,3.59,0.57,0,0,1.45,0.97,0,0.59,0,0,0,1.33,0,0,0,1.33,229,23,0,0,10,0,4,103,0,0,10,58,0,0,0,0,0,0,10,11,0,0,0,0,0,10.04,0,0,4.37,0,1.75,44.98,0,0,4.37,25.33,0,0,0,0,0,0,4.37,4.8,0,0,0,0,0
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101400","Census Tract 1014",,,,3489,2340,58,0,333,0,128,630,67.07,1.66,0,9.54,0,3.67,18.06,3489,2749,740,488,23,0,0,200,0,0,7,0,0,193,0,10,10,0,0,0,0,0,0,0,0,0,19,0,0,0,19,78.79,21.21,13.99,0.66,0,0,5.73,0,0,0.2,0,0,5.53,0,0.29,0.29,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0.54,333,0,0,0,0,0,0,104,0,0,8,182,0,0,0,0,0,0,0,0,20,0,0,19,0,0,0,0,0,0,0,31.23,0,0,2.4,54.65,0,0,0,0,0,0,0,0,6.01,0,0,5.71,0
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102103","Census Tract 1021.03",,,,2054,1686,51,0,241,0,27,49,82.08,2.48,0,11.73,0,1.31,2.39,2054,1952,102,66,0,14,0,17,0,0,0,0,0,17,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,95.03,4.97,3.21,0,0.68,0,0.83,0,0,0,0,0,0.83,0,0.24,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,241,0,0,0,0,0,18,93,0,0,0,96,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,7.47,38.59,0,0,0,39.83,0,0,0,0,0,0,0,0,6.64,7.47,0,0,0
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102104","Census Tract 1021.04",,,,4052,2951,59,23,472,0,72,475,72.83,1.46,0.57,11.65,0,1.78,11.72,4052,3520,532,344,0,32,0,24,0,24,0,0,0,0,0,87,29,0,0,11,47,0,0,0,0,0,45,34,0,0,11,86.87,13.13,8.49,0,0.79,0,0.59,0,0.59,0,0,0,0,0,2.15,0.72,0,0,0.27,1.16,0,0,0,0,0,1.11,0.84,0,0,0.27,472,72,0,0,0,0,127,50,0,0,12,128,0,0,0,0,0,0,0,0,0,73,0,10,0,15.25,0,0,0,0,26.91,10.59,0,0,2.54,27.12,0,0,0,0,0,0,0,0,0,15.47,0,2.12,0
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102105","Census Tract 1021.05",,,,1664,442,22,17,161,0,433,589,26.56,1.32,1.02,9.68,0,26.02,35.4,1664,568,1096,893,0,8,0,138,0,47,4,18,0,69,0,48,19,0,0,17,4,0,8,0,0,0,9,0,0,0,9,34.13,65.87,53.67,0,0.48,0,8.29,0,2.82,0.24,1.08,0,4.15,0,2.88,1.14,0,0,1.02,0.24,0,0.48,0,0,0,0.54,0,0,0,0.54,161,8,0,0,8,0,8,110,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,7,4.97,0,0,4.97,0,4.97,68.32,0,0,6.83,5.59,0,0,0,0,0,0,0,0,0,0,0,0,4.35
